CÓDIGO COMPLETO,REGIÓN,AUTORIDAD AMBIENTAL,RAZÓN SOCIAL,CATEGORÍA,SECTOR ,SUBSECTOR,DESCRIPCIÓN DE LA EMPRESA O NEGOCIO,CADENA PRODUCTIVA,MUNICIPIO,DEPARTAMENTO,AÑO DE VERIFICACIÓN ,VERSIÓN CRITERIOS DE VERIFICACIÓN,PLAN DE MEJORA PARA LLEGAR A NIVEL SATISFACTORIO,Participación Bioexpo ,Etapa Empresarial 
2015FBCCORTOLIMA104,CENTRAL,CORTOLIMA,RESERVA ECOLÓGICA SANTAFE DE LOS GUADUALES,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,"Servicio de alojamiento, avistamiento de aves, piscina de agua natural y senderismo. Tambien ofrece servicio de eventos y restaurante.  Es una reserva ecológica dedicada al ecoturismo. El servicio incluye caminata ecológica con guía y tiene cascadas, senderos ecológicos, variedad en especies de pájaros, cientos de flores, servicio de hospedaje y restaurante.",Ecoturismo,Ibagué,TOLIMA,2015,V 1.1.,Sí,2015,Consolidación
2015FBCCORTOLIMA109,CENTRAL,CORTOLIMA,SPA AMBIENTAL LOS ALPES,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,Presta el servicio de Spa mediante actividades recreativas y lúdicas desarrolladas en un lugar rico en Biodiversidad para los amantes del Eco Turismo y la naturaleza. ,Ecoturismo,Ibagué,TOLIMA,2015,V 1.1.,Sí,2015,Despegue
2015FBC71,CENTRAL,CARDER,APIARIOS CASTAÑEDA,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO","Apicultura: producción de miel y sus derivados  (polen, propoleo,jalea real, entre otros)",Apicultura,Pereira,RISARALDA,2015,V 1.1.,Sí,No reporta ,Consolidación
2015FBC73,CENTRAL,CARDER,ASOCIACIÓN DE PEQUEÑOS CAFETEROS DE QUINCHIA - APECAFEQ,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO","Asociación constituidad por 507 productores de los cuales 26 son productores orgánicos. 22 con certificación orgánica y 4 en periodo de transición. Se vende café en verde para exportación a países como Estados Unidos,Canada y algunos de Europa.",Café,Quinchía,RISARALDA,2015,V 1.1.,Sí,2015,Expansión
2015FBC74,CENTRAL,CARDER,ASOCIACIÓN REGIONAL APÍCOLA DE BALBOA - RISARALDA-ARABAL,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",Apicultura: producción de miel y sus derivados ,Apicultura,Balboa,RISARALDA,2015,V 1.1.,Sí,2015,Consolidación
2015GIZ2,CARIBE,CORPONOR,ASOCIACIÓN DE APICULTORES DE PAMPLONITA,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,PRODUCTOS DERIVADOS DE LA FAUNA SILVESTRE,"Producción de Miel, Polen, Cera, Propoleo, jalea real. Servicio de polinización.",Abejas y Apicultura ,Pamplonita,NORTE DE SANTANDER ,2015,V 1.,No,No reporta ,No Reporta
2015GIZ3,CARIBE,CORPONOR,ASOCIACIÓN DE APICULTORES Y ESPECIES MENORES LA MORENA  (APIEMORENITA),BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,PRODUCTOS DERIVADOS DE LA FAUNA SILVESTRE,Producción de Miel ,Abejas y Apicultura ,Labeteca,NORTE DE SANTANDER ,2015,V 1.,No,No reporta ,No Reporta
2015FBC76,CENTRAL,CORTOLIMA,CORPORACIÓN FUEZA DE PAZ PROYECTO DE VIDA- CORFUPAZ,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO","Cultivos de producción de Sabila (Aloe Barbadensis Miller). La Corporación Fuerza de Paz Proyecto de Vida trabaja desde Ibagué, departamento del Tolima, en fortalecer el proyecto de vida de personas que vienen de situaciones complejas de violencia, en torno a un modelo de desarrollo sostenible que contemple los beneficios: sociales, ambientales y económicos para estos grupos. Trabajan el cooperativismo en los sectores agro.",Sábila ,"Armero, Guayabal, Cajamarca, Ibague, Lerida, Rovira y Suarez ",TOLIMA,2015,V 1.1.,Sí,No reporta ,Despegue
2015FBC78,CENTRAL,CORTOLIMA,PRODUCTOS GANIA Y ALOE TOLIMA,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO","Trasformación ( cristales de aloe vera y pulpa de fruta con aloe vera) y comercialización de productos derivados de la   sabila. Asimismo, sensibilización y educacación ambiental a traves de Aloe del Tolima. ",Sábila ,Ibagué,TOLIMA,2015,V 1.1.,Sí,2015,Inversión Inicial 
2015FBCCORPOAMAZONÍA80,AMAZONÍA,CORPOAMAZONÍA,ASOCIACIÓN DE ARTESANOS IUIAI WASI,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,NO MADERABLES,"Producción manual de artesanias de fibras naturales y semillas de bosque y chaquiras. (mochilas, pulseras, manillas, balacas, prendas, hamacas, entre otras).",Artesanías,Mocoa,PUTUMAYO,2015,V 1.1.,Sí,No reporta ,Despegue
2015FBC81,CENTRAL,CARDER,ASBELAGUA-SANTA EMILIA,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,"Servicios Ecoturisticos, que incluyen Hospedaje, guianza, alimentación, observación de aves, interpretación ambiental y conexión con otros sitios de interes ecoturistico.",Ecoturismo,Belén de Umbría,RISARALDA,2015,V 1.1.,Sí,No reporta ,Despegue
2015FBC82,CENTRAL,CORTOLIMA,ASOCIACIÓN CAJAMARCA SOMOS TODOS,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,"Asociación promotora de turismo en el municipio de Cajamarca, departamento de Tolima. Se encarga del desarrollo y gestión de experiencias agro turísticas ligadas a la cultura, historia y gastronomía típica de Cajamarca, conocida por tratarse de la despensa agrícola de Colombia.",Ecoturismo,Cajamarca,TOLIMA,2015,V 1.1.,Sí,2015,Despegue
2015FBC85,CENTRAL,CORTOLIMA,BIRDING IBAGUE,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,"Iniciativa ubicada en la ciudad de Ibagué, departamento de Tolima. Expertos con alta preparación profesional y vasta experiencia en avistamiento y fotografía de aves proponen una experiencia a la medida del cliente, tanto si es un turista enamorado de la diversidad en aves de Colombia, como si es un experto que desea encontrar “esa ave”, difícil de encontrar.",Ecoturismo,Ibagué,TOLIMA,2015,V 1.1.,Sí,No reporta ,Despegue
2015FBC87,CENTRAL,CARDER,DMI CUCHILLA SAN JUAN VEREDA BARCINAL,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,"Presetar servicios Ecoturisticos, educación ambiental, observación de aves, alojamiento rural y alimentación tradicional, en la DMI Arrayanal.",Ecoturismo,Mistrato,RISARALDA,2015,V 1.1.,Sí,No reporta ,Despegue
2015FBC90,AMAZONÍA,CDA,FERRY MARCOPOLO,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,"Senderismo fluvial,  en una embarcación a motor con capacidad para 45 personas, para observar flora y fauna a lo largo del río Orteguaza. Las personas compran un tour que comienza a las 10 am en el embarcadero de Puerto Arango, y van río abajo apreciando diferentes lugares en las dos orillas, sentados cómodamente.  Almuerzan en una isla, que se forma en medio del río,  donde el capitán Polo les sirve un almuerzo típico. (Sancocho / pescado frito con patacón). Si lo desean, los pasajeros tambien  se pueden bañar.  Regresan, sobre las 5 de la tarde, a Puerto Arango. ",Ecoturismo,Puerto Arango,CAQUETÁ,2015,V 1.1.,Sí,No reporta ,Despegue
2015FBC91,ORINOQUÍA,CORPORINOQUÍA,FINCA ECOTURÍSTICA EL PARAÍSO,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,"
La Finca Ecoturística El Paraíso es una iniciativa que ofrece servicios turísticos de aventura y deportivos en una finca llanera, entre ellos ordeño y cantos de vaquería, paseo en curiara, travesía a caballo, caminatas ecológicas, piscina, voley playa, billar pool, mini tejo, bolo criollo, banquitas, juegos de mesa entre otros, además ofrecen servicios de hospedaje con aire acondicionado o la opción de camping.",Ecoturismo,Yopal,CASANARE,2015,V 1.1.,Sí,No reporta ,Inversión Inicial 
2015FBC92,CENTRAL,SDA,FUNDACIÓN HERENCIA NATURAL,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA," Se dedica a conservar y educación ambiental y fomento de proyectos productivos amigables con el medio ambiente. Los ingresos se perciben por ejecución de proyectos de investigación, servicios de consultoria y la comercialización del café de la zona. (amigo de la rana). Desarrollo de ecoturismo de hepertologia. Caqueta y Tolima.",Ecoturismo,Bogotá,DISTRITO CAPITAL,2015,V 1.1.,Sí,2015,Consolidación
2015FBC93,ORINOQUÍA,CORPORINOQUÍA,GRANJA AGROECOTURÍSTICA EL DIAMANTE,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,"
La Granja El Diamante es una finca agroecoturística que presta principalmente los servicios de educación ambiental en temas de economía campesina, lombricultivo, ganadería, relaciones humanas, entre otros, aprovechando un espacio donde se combina la agricultura, ganadería y el ecosistema natural como un ciclo simibiótico cerrado. ",Ecoturismo,Yopal,CASANARE,2015,V 1.1.,Sí,No reporta ,Despegue
2015FBC94,CENTRAL,CORTOLIMA,KENISHA,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,"Como reserva natural  pretende brindar sensibilización y encuentro a través de la observación de aves y el encuentro con la naturaleza con la práctica del sederismo y el disfrute del paisaje escénico, trabaja la educación ambiental y la conservación del bosque. Ofrece alojamiento, alimentación.",Ecoturismo,Prado,TOLIMA,2015,V 1.1.,Sí,No reporta ,Despegue
2015GIZ34,ORINOQUÍA,CORMACARENA,ASOCIACIÓN  DE PANELEROS DE DOS QUEBRADAS ASOPANEL ,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO","Cultivan aproximadamente 25 hectáreas de caña, las cuales se utilizan para la producción de panela",Panela,Granada,META,2015,V 1.,No,No reporta ,No Reporta
2015FBC95,CENTRAL,CORTOLIMA,LA LUCIA,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,"Reserva que ofrece el servicio de turismo de naturaleza. Ofrece productos de Avistamiento de aves (bosque de conservación), producción orgánica de café (1 ha), 1/4 producción de flores y follajes ornamentales. Otros servicios o productos secundarios: estanque de trucha para fines comerciales y educativos, gallinas y huevos, sustitución de concentrado por forrajes ponedoras.
Ubicada en la vereda el Totumo a 20 kms de Ibagué, departamento de Tolima. Hermosa finca donde pasar un fin de semana con los amigos o la familia recorriendo los senderos, ubicados entre cultivos, naturaleza, e incluso una cascada. Podrá degustar un excelente café amigable con las aves, que cuenta con certificación Rainforest tras haber visto los cultivos de donde es cosechado.  ",Ecoturismo,Ibagué,TOLIMA,2015,V 1.1.,Sí,No reporta ,Despegue
2015FBC96,CENTRAL,CORTOLIMA,LA PRIMAVERA,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,"Senderismo, agroturismo, interpretación ambienta, talleres de abonos orgánicos, servicio de restaurante, pasadía. Incomparable reserva ubicada en la vía para San Bernardo, del municipio de Ibagué, departamento del Tolima. Cuenta con capacidad para albergar de cuatro a seis personas, un plan perfecto para desaparecer del mundo por unos días con la familia, disfrutando de la naturaleza y la alimentación saludable. Ofrece recorridos entre los cacaotales, y un alto con unas vistas impresionantes. Entre flores y mariposas se cosechan productos orgánicos diversos (yuca, aguacate, cacao), dando como resultado un delicioso cacao orgánico que podrá disfrutar e incluso aprender a elaborar. ",Ecoturismo,Ibagué,TOLIMA,2015,V 1.1.,Sí,No reporta ,Despegue
2015FBC98,CENTRAL,CARDER,ORGANIZACIÓN AMBIENTAL VIDA SILVESTE,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA," Presetar servicios Ecoturisticos, educación ambiental, observación de aves, alojamiento rural y alimentación tradicional, en el DMI Agua Linda.",Ecoturismo,Apía,RISARALDA,2015,V 1.1.,Sí,No reporta ,Despegue
2015FBC100,CENTRAL,CARDER,PARQUE REGIONAL UCUMARI,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,"Presetar servicios Ecoturisticos, educación ambiental, observación de aves, alojamiento rural y alimentación tradicional, enel Parque Regional Ucumari.",Ecoturismo,Pereira,RISARALDA,2015,V 1.1.,Sí,No reporta ,Consolidación
2015FBC110,CENTRAL,CORTOLIMA,TOLIMA BIODIVERSA,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA," Operadora turistica en areas protegidas y promueve otras estegias de conservación (montañismo, avistamiento de aves)",Ecoturismo,Ibagué,TOLIMA,2015,V 1.1.,Sí,2015,Despegue
2015FBC111,CENTRAL,AMVA,PROPLANET,ECOPRODUCTOS INDUSTRIALES,APROVECHAMIENTO Y VALORACIÓN DE RESIDUOS,N.A,"Proplanet S.A.S es una empresa que ofrece productos fabricados con pulpa de papel y fibras de materiales post industriales y post consumo de Tetra Pak para fabrircar: Elementos para el consumo de alimentos, Embalaje de alimentos, Macetas para germinación, Recipientes hospitalarios desechables, rellenos de calzados, accesorios para embalaje y acondicionamiento, muebles insitucionales, entre otros.",Papel Reciclado,La Estrella,ANTIOQUIA,2015,V 1.1.,Sí,No reporta ,Consolidación
2015FBC112,CENTRAL,AMVA,SISTEMAS ORGÁNICOS,ECOPRODUCTOS INDUSTRIALES,APROVECHAMIENTO Y VALORACIÓN DE RESIDUOS,N.A,"
Sistemas Orgánicos es una empresa que ofrece productos alimenticios balanceados para animales como harinas, jarabes y sumplementos aprovechando la transformación de subproductos de las industrias especialmente las naranjas como insumo primordial.","Harinas, Jarabes y Suplementos ",La Estrella,ANTIOQUIA,2015,V 1.1.,Sí,No reporta ,Despegue
2015FBC113,CENTRAL,CARDER,ASOCIACIÓN DE PANELEROS DE QUINCHIA - ASOPANELA- SOCIO 1,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",Producción de panela orgánica,Panela ,Quinchía,RISARALDA,2015,V 1.1.,Sí,No reporta ,Despegue
2015FBC114,CENTRAL,CARDER,ASOCIACIÓN DE PANELEROS DE QUINCHIA - ASOPANELA -SOCIO 2,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",Producción de panela orgánica,Panela ,Quinchía,RISARALDA,2015,V 1.1.,Sí,No reporta ,Despegue
2015FBC115,CENTRAL,CARDER,ASOCIACIÓN DE PANELEROS DE QUINCHIA - ASOPANELA- SOCIO 3,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",Producción de panela orgánica,Panela ,Quinchía,RISARALDA,2015,V 1.1.,Sí,No reporta ,Despegue
2015MADS116,CENTRAL,CORNARE,CORPORACIÓN TIERRA DE COLORES,ECOPRODUCTOS INDUSTRIALES,APROVECHAMIENTO Y VALORACIÓN DE RESIDUOS,N.A,"Centro de Reciclaje, que incluye la transformación del aceite usado de cocina a jabones biodegradables.",Jabones a base de aceite de cocina,Santuario ,ANTIOQUIA,2015,V 1.1.,No,No reporta ,Despegue
2015MADS117,CENTRAL,CORNARE,TRANSFORMACIONES GIRASOL,ECOPRODUCTOS INDUSTRIALES,APROVECHAMIENTO Y VALORACIÓN DE RESIDUOS,N.A,Recuperación de envases y empaques de plaguicidas y transformación de los mismos para la fabricación de envaradera (Estacones). ,Envaradera Plastica,Ríonegro,ANTIOQUIA,2015,V 1.1.,No,No reporta ,Consolidación
2015MADS118,CENTRAL,CORPOGUAVIO,EUROSUISSE,ECOPRODUCTOS INDUSTRIALES,OTROS BIENES Y SERVICIOS VERDES SOSTENIBLES,N.A,Producción de productos cárnicos. ,Embutidos,Gacheta ,CUNDINAMARCA,2015,V 1.1.,No,No reporta ,Consolidación
2015MADS119,PACÍFICO,CRC,"FINCA CAFETERA ""LA SELVA""",BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",Finca dedicada a la producción de café orgánico. ,Café,Popayán ,CAUCA,2015,V 1.1.,No,No reporta ,Despegue
2015GIZ1,CARIBE,CORPONOR,ASOCIACIÓN DE APICULTORES DEL MUNICIPIO DE LOS PATIOS,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,PRODUCTOS DERIVADOS DE LA FAUNA SILVESTRE,"Se cultivan colmenas,  se extrae y comercializa todo lo relacionado con la apicultura: miel, polen, cera, jalea, propoleo, equipos de protección e insumos, materiales apícolas, cera laminada, cera virgen, maquinario, extractrores, ahumadores, espátulas, colmenas, núcleos y asistencia técnica.",Abejas y Apicultura ,Los Patios,NORTE DE SANTANDER ,2015,V 1.,No,No reporta ,No Reporta
2015GIZ4,CARIBE,CORPONOR,HOGAR JUVENIL CAMPESINO CHINACOTA 450 AÑOS,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,"Granja integral, cuentan con cultivos de café mezclado con platano y aguacate, tienen cria de cerdos, gallinas ponedoras, pollos, conejos ovejas, cabras, piscicultura, cuentan con una vaca. Enfocados principalmente al ecoturismo",Varios agrosistemas sostenibles ,Chinacota,NORTE DE SANTANDER ,2015,V 1.,Sí,2015,No Reporta
2015GIZ5,CARIBE,CORPONOR,PROYECTO ECOTURISTICO MUNICIPIO DE CACOTA ALCALDIA MUNICIPAL,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,"Senderos ecológicos, laguna, produccion de trucha y la ruta del durazno",Ecoturismo,Cacota,NORTE DE SANTANDER ,2015,V 1.,No,No reporta ,No Reporta
2015GIZ6,CARIBE,CORPONOR,ASOPROLABATECA,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,Producción y comercialización de hortalizas orgánicas.,Hortalizas,Labeteca,NORTE DE SANTANDER ,2015,V 1.,No,No reporta ,No Reporta
2015GIZ7,CARIBE,CORPONOR,MADERAS Y ABONOS EL SUSPIRO,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,"Elaboración de abono (1000 kilos) para sembrar cacao. Cada 15 días vende 10 bultos (estiercol de ganado, cal, melasa, desperdicios, hojas verdes y  roca fosfórica)",Abono Orgánico,Cúcuta,NORTE DE SANTANDER ,2015,V 1.,No,No reporta ,No Reporta
2015GIZ8,CARIBE,CORPONOR,PRODUCTORES Y SUMINISTROS JR,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",Cultivo y comercialización de mora orgánica,Mora,Los Patios,NORTE DE SANTANDER ,2015,V 1.,Sí,No reporta ,No Reporta
2015GIZ9,CARIBE,CORPONOR,ASOCIACIÓN DE FAMILIAS GENERADORAS DE DESARROLLO COMUNITARIO VEREDA SAN JAVIER,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO","Es un vivero, enfocado en la injertacion de aguacate, y plantas frutales",Varios agrosistemas sostenibles ,Toledo,NORTE DE SANTANDER ,2015,V 1.,No,No reporta ,No Reporta
2015GIZ10,CARIBE,CORPONOR,ASOCIACIÓN DE AGRICULTORES DE LA VEREDA DE CALIFORNIA DEL MUNICIPIO DE LOS PATIOS  ASOAGRICALPAT,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO","Producción y comercialización de productos agropecuarios como son: leche, pollo, cerdos, huevos de codorniz y gallina, gallinas ponedoras, tomate, mazorca, frijol y habichuela. ",Varios agrosistemas sostenibles ,Los patios,NORTE DE SANTANDER ,2015,V 1.,No,No reporta ,No Reporta
2015GIZ11,CARIBE,CORPONOR,ASOCIACIÓN DE PARCELEROS 'LA CAMPIÑA',BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO","Cultivo de Maíz, ahuyama, miel de abejas, porcinos, caprinos, ganado (doble propósito), leche, pollos. A pequeña escala para comercialización",Varios agrosistemas sostenibles ,Los Patios,NORTE DE SANTANDER ,2015,V 1.,No,No reporta ,No Reporta
2015GIZ12,CARIBE,CORPONOR,ASPROBRISAS,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO","Cultivo de limon, cultivos transitorios, de ahuyama, papaya y la comercialización de estos productos",Varios agrosistemas sostenibles ,Cúcuta,NORTE DE SANTANDER ,2015,V 1.,No,No reporta ,No Reporta
2015GIZ13,CARIBE,CORPONOR,LEONARDO PEÑARANDA CAFÉ,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO","Cultivos de café, eventuales cultivos de platano que comercializan con la Cooperativa que se llama Catatumbo",Café ,Gramalote,NORTE DE SANTANDER ,2015,V 1.,No,No reporta ,No Reporta
2015GIZ14,CARIBE,CORPONOR,ANGIE GUADALUPE MIRANDA PARADA PAPA CRIOLLA,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO","Cultivo de papa criolla, arracacha y comercialización de los productos",Papa Criolla,Pamplona ,NORTE DE SANTANDER ,2015,V 1.,No,No reporta ,No Reporta
2015GIZ15,CARIBE,CORPONOR,ASOCIACIÓN DE CITRICULTORES DE BANCO ARENA ASITRIBANC,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",Cultivo y comercialización de Lima acida mexicana tradicional y limon Criollo ,Limón ,Cúcuta,NORTE DE SANTANDER ,2015,V 1.,No,No reporta ,No Reporta
2015GIZ16,CARIBE,CORPONOR,ASOCIACIÓN DE AGRICULTORES DEL MUNICIPIO DE MUTISCUA,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",Siembra y comercialización de hortalizas : apio España-lechuga-coliflor-brocoli,Hortalizas,Mutiscua,NORTE DE SANTANDER ,2015,V 1.,No,2015,No Reporta
2015GIZ17,CARIBE,CORPONOR,"ASOCIACIÓN DE PRODUCTORES AGROPECUARIOS DE PAMPLONA ""ASPAGRO""",BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO","Proceso de producción a pequeña escala de verduras, frutas orgánicas y manejo de aves con el propósito de realizar capacitaciòn y transferencia de tecnologìa a nuestros asociados para una transiciòn de agricultura convencional a agroecològica. En granja producen abonos y biofertilizantes para su uso, ademàs  ensilaje para las aves.       ",Varios agrosistemas sostenibles ,Pamplona ,NORTE DE SANTANDER ,2015,V 1.,No,No reporta ,No Reporta
2015GIZ18,CARIBE,CORPONOR,ASOCIACIÓN DE GANADEROS DE SANTIAGO ASOGASAN,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO","Ganaderia doble proposito enfocada principalmente a producción lechera, tienen centro de acopio en adecuación para vender leche en frio.",Lácteos,Santiago,NORTE DE SANTANDER ,2015,V 1.,Sí,2015,No Reporta
